cluster_rep	name_	member_ids	locus	assembly	n_members	n_chromosomes	n_plasmids	virus_percent	product	avg_iso	phylum	species	mean_length	percent_cas13
WP_045366112.1	[]	['WP_045366112.1']	['AcrIIA7']	['GCF_000828475.1_ASM82847v1']	1	1.0	0.0	0.0	['hypothetical protein']	9.29510498046875	['a-proteobacteria']	['Methyloceanibacter']	97.0	0.0
WP_045366115.1	[]	['WP_045366115.1']	['AcrIIA7']	['GCF_000828475.1_ASM82847v1']	1	1.0	0.0	0.0	['hypothetical protein']	6.12213134765625	['a-proteobacteria']	['Methyloceanibacter']	153.0	0.0
WP_032002909.1	[]	['WP_032002909.1', 'WP_005029625.1']	['AcrIIA7']	['GCF_000786735.1_ASM78673v1', 'GCF_001908295.1_ASM190829v1', 'GCF_004379355.1_ASM437935v1']	3	1.0	0.0	0.0	['hypothetical protein']	4.26409912109375	['g-proteobacteria']	['Acinetobacter']	205.66666666666666	0.0
WP_032002905.1	[]	['WP_007011676.1', 'WP_004152471.1', 'WP_064185222.1', 'WP_135798718.1', 'WP_069601735.1', 'WP_103468784.1', 'WP_103215508.1', 'WP_024623096.1', 'WP_007374233.1', 'WP_005204136.1', 'WP_100927468.1', 'WP_080922666.1', 'WP_134251754.1', 'WP_069708284.1', 'WP_004141558.1', 'WP_032415329.1', 'WP_004149313.1', 'WP_004152447.1', 'WP_032002905.1', 'WP_071458086.1', 'WP_047723488.1']	['AcrIIA7']	['GCF_000280495.2_ASM28049v2', 'GCF_000281435.2_ASM28143v2', 'GCF_000281535.2_ASM28153v2', 'GCF_000406765.2_ASM40676v2', 'GCF_000417085.2_ASM41708v2', 'GCF_000417225.2_ASM41722v2', 'GCF_000417265.2_ASM41726v2', 'GCF_000714675.1_ASM71467v1', 'GCF_000717515.1_ASM71751v1', 'GCF_000767465.1_ASM76746v1', 'GCF_000775375.1_ASM77537v1', 'GCF_000775395.1_ASM77539v1', 'GCF_000784985.1_ASM78498v1', 'GCF_000786735.1_ASM78673v1', 'GCF_000807395.2_ASM80739v3', 'GCF_001022195.1_ASM102219v1', 'GCF_001611055.1_ASM161105v1', 'GCF_001611095.1_ASM161109v1', 'GCF_001675125.1_ASM167512v1', 'GCF_001701845.2_ASM170184v2', 'GCF_001702045.2_ASM170204v2', 'GCF_001705385.1_ASM170538v1', 'GCF_001729765.1_ASM172976v1', 'GCF_001742225.1_ASM174222v1', 'GCF_001870165.1_ASM187016v1', 'GCF_001902255.1_ASM190225v1', 'GCF_001908295.1_ASM190829v1', 'GCF_001952915.1_ASM195291v1', 'GCF_002056475.1_ASM205647v1', 'GCF_002156745.1_ASM215674v1', 'GCF_002180295.1_ASM218029v1', 'GCF_002192315.1_ASM219231v1', 'GCF_002202195.1_ASM220219v1', 'GCF_002202275.1_ASM220227v1', 'GCF_002243445.1_ASM224344v1', 'GCF_002249975.1_ASM224997v1', 'GCF_002812365.1_ASM281236v1', 'GCF_002812385.1_ASM281238v1', 'GCF_002814095.1_ASM281409v1', 'GCF_002903025.1_ASM290302v1', 'GCF_002906415.1_ASM290641v1', 'GCF_002918585.2_ASM291858v2', 'GCF_002934965.1_ASM293496v1', 'GCF_003030045.1_ASM303004v1', 'GCF_003073675.1_ASM307367v1', 'GCF_003408615.1_ASM340861v1', 'GCF_003429625.1_ASM342962v1', 'GCF_003860645.1_ASM386064v2', 'GCF_004322955.1_ASM432295v1', 'GCF_004379355.1_ASM437935v1', 'GCF_004771235.1_ASM477123v1', 'GCF_900622645.1_KPC2']	53	1.0	0.0	0.0	['', 'bacteriophage head to tail connecting protein', 'hypothetical protein', 'phage head-tail adapter protein', 'phage tail protein', 'tail protein']	5.469110452903892	['E. coli', 'a-proteobacteria', 'enterobacteria', 'g-proteobacteria']	['Acinetobacter', 'Enterobacter', 'Escherichia', 'Klebsiella', 'Kosakonia', 'Novosphingobium', 'Sagittula']	554.4905660377359	0.0
WP_032002907.1	[]	['WP_134251756.1', 'WP_032002907.1']	['AcrIIA7']	['GCF_000786735.1_ASM78673v1', 'GCF_001908295.1_ASM190829v1', 'GCF_004379355.1_ASM437935v1']	3	1.0	0.0	0.0	['hypothetical protein']	5.034810384114583	['g-proteobacteria']	['Acinetobacter']	161.33333333333334	0.0
WP_032002910.1	[]	['WP_071458091.1', 'WP_047723494.1', 'WP_069601739.1', 'WP_103215503.1', 'WP_134251758.1', 'WP_103468788.1', 'WP_032002910.1']	['AcrIIA7']	['GCF_000786735.1_ASM78673v1', 'GCF_001022195.1_ASM102219v1', 'GCF_001729765.1_ASM172976v1', 'GCF_001870165.1_ASM187016v1', 'GCF_001908295.1_ASM190829v1', 'GCF_002192315.1_ASM219231v1', 'GCF_002903025.1_ASM290302v1', 'GCF_002906415.1_ASM290641v1', 'GCF_004379355.1_ASM437935v1']	9	1.0	0.0	0.0	['hypothetical protein']	5.776563856336805	['enterobacteria', 'g-proteobacteria']	['Acinetobacter', 'Enterobacter', 'Klebsiella']	300.77777777777777	0.0
WP_032002913.1	[]	['WP_032002913.1', 'WP_071458092.1', 'WP_069601740.1', 'WP_134251762.1', 'WP_103215502.1', 'WP_047723496.1', 'WP_064167266.1']	['AcrIIA7']	['GCF_000786735.1_ASM78673v1', 'GCF_001022195.1_ASM102219v1', 'GCF_001729765.1_ASM172976v1', 'GCF_001870165.1_ASM187016v1', 'GCF_001908295.1_ASM190829v1', 'GCF_002192315.1_ASM219231v1', 'GCF_002903025.1_ASM290302v1', 'GCF_002906415.1_ASM290641v1', 'GCF_004379355.1_ASM437935v1']	9	1.0	0.0	0.0	['hypothetical protein']	5.181566026475695	['enterobacteria', 'g-proteobacteria']	['Acinetobacter', 'Enterobacter', 'Klebsiella']	186.66666666666666	0.0
WP_032002915.1	[]	['WP_069601741.1', 'WP_134251764.1', 'WP_071458093.1', 'WP_103215501.1', 'WP_032002915.1', 'WP_103468789.1', 'WP_047723497.1']	['AcrIIA7']	['GCF_000786735.1_ASM78673v1', 'GCF_001022195.1_ASM102219v1', 'GCF_001729765.1_ASM172976v1', 'GCF_001870165.1_ASM187016v1', 'GCF_001908295.1_ASM190829v1', 'GCF_002192315.1_ASM219231v1', 'GCF_002903025.1_ASM290302v1', 'GCF_002906415.1_ASM290641v1', 'GCF_004379355.1_ASM437935v1']	9	1.0	0.0	0.0	['carbohydrate-binding protein', 'hypothetical protein']	4.973137749565972	['enterobacteria', 'g-proteobacteria']	['Acinetobacter', 'Enterobacter', 'Klebsiella']	672.6666666666666	0.0
WP_001198074.1	[]	['WP_134251766.1', 'WP_001198074.1']	['AcrIIA7']	['GCF_000786735.1_ASM78673v1', 'GCF_001908295.1_ASM190829v1', 'GCF_004379355.1_ASM437935v1']	3	1.0	0.0	0.0	['GNAT family N-acetyltransferase', 'N-acetyltransferase']	5.51226806640625	['g-proteobacteria']	['Acinetobacter']	150.0	0.0
YP_009352415.1	[]	['YP_009352415.1']	['AcrIIA7']	['GCF_002080335.1_ViralProj381660']	1	0.0	0.0	1.0	['putative DNA/RNA helicase protein']	9.45977783203125	['viruses']	['Rhizobium']	532.0	0.0
